period,fuel-name,state-name,value,value-units
1983,Petroleum,Connecticut,9.314567,million metric tons of CO2
1983,Natural Gas,Connecticut,0,million metric tons of CO2
1983,All Fuels,Connecticut,9.314567,million metric tons of CO2
1983,Coal,Connecticut,.018643,million metric tons of CO2
1983,Petroleum,Connecticut,1.595678,million metric tons of CO2
1976,Natural Gas,Connecticut,1.726755,million metric tons of CO2
1983,Natural Gas,Connecticut,1.097123,million metric tons of CO2
1983,All Fuels,Connecticut,2.711444,million metric tons of CO2
1983,All Fuels,Connecticut,34.777158,million metric tons of CO2
1983,Coal,Connecticut,.068099,million metric tons of CO2
1983,Petroleum,Connecticut,30.698964,million metric tons of CO2
1983,Natural Gas,Connecticut,4.010095,million metric tons of CO2
1984,Coal,Connecticut,.018822,million metric tons of CO2
1984,Petroleum,Connecticut,5.071406,million metric tons of CO2
1984,Natural Gas,Connecticut,1.803846,million metric tons of CO2
1984,All Fuels,Connecticut,6.894074,million metric tons of CO2
1984,Coal,Connecticut,.080185,million metric tons of CO2
1984,Petroleum,Connecticut,2.719532,million metric tons of CO2
1984,Natural Gas,Connecticut,1.351851,million metric tons of CO2
1984,All Fuels,Connecticut,4.151568,million metric tons of CO2
1984,Coal,Connecticut,0,million metric tons of CO2
1984,Petroleum,Connecticut,13.889478,million metric tons of CO2
1984,Natural Gas,Connecticut,.011717,million metric tons of CO2
1984,All Fuels,Connecticut,13.901195,million metric tons of CO2
1984,Coal,Connecticut,.032529,million metric tons of CO2
1984,Petroleum,Connecticut,9.712352,million metric tons of CO2
1984,Natural Gas,Connecticut,.121469,million metric tons of CO2
1984,All Fuels,Connecticut,9.866349,million metric tons of CO2
1984,Coal,Connecticut,.010978,million metric tons of CO2
1984,Petroleum,Connecticut,2.054606,million metric tons of CO2
1984,Natural Gas,Connecticut,1.087746,million metric tons of CO2
1984,All Fuels,Connecticut,3.153329,million metric tons of CO2
1984,All Fuels,Connecticut,37.966516,million metric tons of CO2
1984,Coal,Connecticut,.142514,million metric tons of CO2
1984,Petroleum,Connecticut,33.447373,million metric tons of CO2
1984,Natural Gas,Connecticut,4.376629,million metric tons of CO2
1985,Coal,Connecticut,.017958,million metric tons of CO2
1985,Petroleum,Connecticut,5.06478,million metric tons of CO2
1985,Natural Gas,Connecticut,1.790008,million metric tons of CO2
1985,All Fuels,Connecticut,6.872746,million metric tons of CO2
1985,Coal,Connecticut,.06386,million metric tons of CO2
1985,Petroleum,Connecticut,2.640819,million metric tons of CO2
1985,Natural Gas,Connecticut,1.342838,million metric tons of CO2
1985,All Fuels,Connecticut,4.047517,million metric tons of CO2
1985,Coal,Connecticut,0,million metric tons of CO2
1985,Petroleum,Connecticut,13.997317,million metric tons of CO2
1985,Natural Gas,Connecticut,.019193,million metric tons of CO2
1985,All Fuels,Connecticut,14.01651,million metric tons of CO2
1985,Coal,Connecticut,1.937173,million metric tons of CO2
1985,Petroleum,Connecticut,8.064623,million metric tons of CO2
1985,Natural Gas,Connecticut,.085203,million metric tons of CO2
1985,All Fuels,Connecticut,10.086999,million metric tons of CO2
1985,Coal,Connecticut,.009274,million metric tons of CO2
1985,Petroleum,Connecticut,1.845425,million metric tons of CO2
1985,Natural Gas,Connecticut,.988652,million metric tons of CO2
1985,All Fuels,Connecticut,2.843352,million metric tons of CO2
1985,All Fuels,Connecticut,37.867124,million metric tons of CO2
1985,Coal,Connecticut,2.028265,million metric tons of CO2
1985,Petroleum,Connecticut,31.612964,million metric tons of CO2
1985,Natural Gas,Connecticut,4.225894,million metric tons of CO2
1986,Coal,Connecticut,.019974,million metric tons of CO2
1986,Petroleum,Connecticut,5.841254,million metric tons of CO2
1986,Natural Gas,Connecticut,1.917097,million metric tons of CO2
1986,All Fuels,Connecticut,7.778325,million metric tons of CO2
1986,Coal,Connecticut,.066837,million metric tons of CO2
1986,Petroleum,Connecticut,2.586961,million metric tons of CO2
1986,Natural Gas,Connecticut,1.349518,million metric tons of CO2
1986,All Fuels,Connecticut,4.003316,million metric tons of CO2
1986,Coal,Connecticut,0,million metric tons of CO2
1986,Petroleum,Connecticut,14.224816,million metric tons of CO2
1986,Natural Gas,Connecticut,.034887,million metric tons of CO2
1986,All Fuels,Connecticut,14.259703,million metric tons of CO2
1986,Coal,Connecticut,1.912824,million metric tons of CO2
1986,Petroleum,Connecticut,8.69649,million metric tons of CO2
1986,Natural Gas,Connecticut,.040666,million metric tons of CO2
1986,All Fuels,Connecticut,10.649981,million metric tons of CO2
